Дата и время,CO,NO2,NO,PM10,Давление,Влажность,| V |,_V_,-T-,Осадки
14.01.2021 17:40,0.5,0.0604,0.009,0.02,743.6,76,0.4,0,-13,0
14.01.2021 18:00,0.5,0.0626,0.014,0.021,743.6,77,0.1,0,-13,0
14.01.2021 18:20,0.5,0.0619,0.011,0.021,743.7,77,0.3,0,-13,0
14.01.2021 18:40,0.4,0.0608,0.009,0.02,743.7,76.9,0.4,19,-13.1,0
14.01.2021 19:00,0.5,0.0609,0.009,0.019,743.7,76.4,0.2,0,-13.1,0
14.01.2021 19:20,0.5,0.0613,0.01,0.018,743.6,76,0.2,354,-13.1,0
14.01.2021 19:40,0.4,0.0606,0.009,0.019,743.7,76.2,0.2,0,-13.1,0
14.01.2021 20:00,0.4,0.0599,0.008,0.019,743.7,75.7,0.3,52,-13.1,0
14.01.2021 20:20,0.4,0.0561,0.006,0.019,743.8,75,0.3,31,-13.1,0
14.01.2021 20:40,0.4,0.054,0.005,0.02,743.8,75,0.3,41,-13.1,0
14.01.2021 21:00,0.4,0.0549,0.005,0.019,743.7,75,0.3,40,-13,0
14.01.2021 21:20,0.4,0.0531,0.005,0.018,743.6,75,0.2,0,-13,0
14.01.2021 21:40,0.4,0.0566,0.008,0.019,743.6,75,0.3,19,-12.9,0
14.01.2021 22:00,0.4,0.0563,0.006,0.02,743.7,75,0.2,0,-13,0
14.01.2021 22:20,0.4,0.0562,0.004,0.02,743.8,75,0.2,31,-13,0
14.01.2021 22:40,0.3,0.0575,0.006,0.021,744.2,75,0.1,0,-12.9,0
14.01.2021 23:00,0.3,0.0597,0.009,0.02,744.2,74.2,0.1,0,-12.9,0
14.01.2021 23:20,0.3,0.0605,0.01,0.02,744.3,74.2,0,0,-12.8,0
14.01.2021 23:40,0.3,0.0604,0.013,0.02,744.3,74,0.1,0,-12.8,0
15.01.2021 0:00,,,,,744.2,74,0.1,0,-12.8,0
15.01.2021 0:20,,,,,744.2,74.4,0.3,348,-12.7,0
15.01.2021 0:40,,,,,744.3,74.4,0.1,0,-12.6,0
15.01.2021 1:00,,,,,744.4,75,0.1,0,-12.6,0
15.01.2021 1:20,,,,,744.5,74.5,0.2,359,-12.5,0
15.01.2021 1:40,,,,,744.4,74.1,0.1,0,-12.7,0
15.01.2021 2:00,,,,,744.4,74.4,0.1,0,-12.7,0
15.01.2021 2:20,,,,,744.5,74.5,0.1,0,-12.8,0
15.01.2021 2:40,,,,,744.7,74.5,0,0,-12.8,0
15.01.2021 3:00,,,,,744.7,74.9,0.1,0,-12.6,0
15.01.2021 3:20,,,,,744.8,74.6,0,0,-12.7,0
15.01.2021 3:40,,,,,744.8,75,0.1,0,-12.7,0
15.01.2021 4:00,,,,,744.9,75,0.1,0,-12.9,0
15.01.2021 4:20,,,,,744.9,75,0.1,0,-13,0
15.01.2021 4:40,,,,,744.9,75,0,0,-13,0
15.01.2021 5:00,,,,,744.9,75,0,0,-13,0
15.01.2021 5:20,,,,,745.1,75,0,0,-13,0
15.01.2021 5:40,,,,,745.1,75,0,0,-13,0
15.01.2021 6:00,,,,,745.1,75,0.1,0,-13.2,0
15.01.2021 6:20,,,,,745.2,75.3,0,0,-13.4,0
15.01.2021 6:40,,,,,745.4,76,0,0,-13.4,0
15.01.2021 7:00,,,,,745.7,76,0,0,-13.3,0
15.01.2021 7:20,,,,,745.7,76,0.1,0,-13.4,0
15.01.2021 7:40,,,,,745.7,75.9,0.1,25,-13.6,0
15.01.2021 8:00,,,,,745.8,76,0.1,0,-13.7,0
15.01.2021 8:20,,,,,745.8,75.1,0.1,89,-13.9,0
15.01.2021 8:40,,,,,745.9,75,0.1,0,-14.1,0
15.01.2021 9:00,,,,,745.9,75.8,0.1,0,-14.3,0
15.01.2021 9:20,,,,,746.1,76,0,0,-14.2,0
15.01.2021 9:40,,,,,746.4,76,0,0,-14,0
15.01.2021 10:00,,,,,746.6,76,0,0,-13.8,0
15.01.2021 10:20,,,,,746.6,75.8,0.1,81,-13.6,0
15.01.2021 10:40,,,,,746.6,75,0.3,58,-13.7,0
15.01.2021 11:00,,,,,746.7,75,0.1,0,-14,0
15.01.2021 11:20,,,,,746.8,75,0.1,0,-13.9,0
15.01.2021 11:40,,,,,746.9,75,0.1,0,-13.9,0
15.01.2021 12:00,,,,,747,75,0,0,-13.6,0
15.01.2021 12:20,,,,,747.1,75,0.1,0,-13.5,0
15.01.2021 12:40,,,,,746.9,75,0,0,-13.4,0
15.01.2021 13:00,,,,,746.8,75,0,0,-13.2,0
15.01.2021 13:20,,,,,746.9,74.6,0,0,-12.8,0.3
15.01.2021 13:40,,,,,746.9,74,0,0,-12.7,0
15.01.2021 14:00,,,,,746.8,74.7,0,0,-12.6,0
15.01.2021 14:20,,,,,747.1,75,0.1,0,-12.2,0
15.01.2021 14:40,,,,,747,74.7,0.1,0,-12.3,0
15.01.2021 15:00,,,,,747,75.7,0.1,0,-12.4,0
15.01.2021 15:20,,,,,746.9,75.9,0.1,0,-12.2,0
15.01.2021 15:40,,,,,747,75.4,0.2,48,-12.3,0
15.01.2021 16:00,,,,,747.1,75.1,0.4,0,-12.4,0
15.01.2021 16:20,,,,,746.9,75,0.3,12,-12.5,0
15.01.2021 16:40,,,,,747,75,0.3,74,-12.6,0
15.01.2021 17:00,,,,,747.1,75.4,0.2,26,-12.8,0
15.01.2021 17:20,,,,,747,75.2,0.2,0,-13,0
15.01.2021 17:40,,,,,746.9,75,0.2,0,-13,0
15.01.2021 18:00,,,,,746.8,75,0.1,13,-12.9,0
